Connaught Place,28.6313827,77.2197924,Khan Chacha | खान चाचा | خان چاچا,28.634202294199614,77.22077980678422,Indian Restaurant,4f0f00a7e4b07eb2379b1e1d,0
Connaught Place,28.6313827,77.2197924,Pind Balluchi,28.630318339248806,77.21760032761195,North Indian Restaurant,4c359b0f7cc0c9b6ca33f59a,0
Connaught Place,28.6313827,77.2197924,HOTEL SARAVANA BHAVAN,28.632319466435003,77.21644531748599,South Indian Restaurant,519ba450498eb0c559152d94,0
Connaught Place,28.6313827,77.2197924,Tamasha,28.629663327072745,77.22183483476593,Gastropub,56c6e01ccd10173283f8534e,0
Connaught Place,28.6313827,77.2197924,Barbeque Nation,28.63025338767433,77.22098501777461,BBQ Joint,51338004e4b099a3a7233bdc,0
Connaught Place,28.6313827,77.2197924,Berco's,28.63240704948879,77.2173230839724,Chinese Restaurant,4b5c78e9f964a5206f3129e3,0
Connaught Place,28.6313827,77.2197924,Nizam's Kathi Kabab | निजा़म काठी कबाब,28.634857957123064,77.21946245007211,Indian Restaurant,4bf107ab24f020a1e0a8684f,0
Connaught Place,28.6313827,77.2197924,Odeon Social,28.634414197963707,77.22093550978948,Café,569b32b5498ef7c4152b45fb,0
Connaught Place,28.6313827,77.2197924,Immigrants Project - A Cafe in History,28.634055048338602,77.21886681496603,Café,54440189498e4795b1111834,0
Connaught Place,28.6313827,77.2197924,Sagar Ratna,28.635487253836967,77.22064969494076,Indian Restaurant,4cb876d7f50e224bd2d6e6fb,0
Connaught Place,28.6313827,77.2197924,Warehouse Cafe,28.63372638697029,77.22102407638606,Café,517018aae4b068bd5f589772,0
Connaught Place,28.6313827,77.2197924,Wenger's Deli,28.633657990718326,77.21813923616,Deli / Bodega,517cfc0de4b0a366cd2ba325,0
Connaught Place,28.6313827,77.2197924,Fresc Co,28.628415028106655,77.21954938989002,Italian Restaurant,4cc2acc9d43ba143e2535af8,0
Connaught Place,28.6313827,77.2197924,Dunkin' Donuts,28.630181868375203,77.21962210391595,Donut Shop,4fae55f3e4b047f11d17675f,0
Connaught Place,28.6313827,77.2197924,Anand Biryani House,28.62913638616433,77.22012996193826,Indian Restaurant,4dc7fe1ac65b89d3caab5cb5,0
Connaught Place,28.6313827,77.2197924,Chew,28.632001527203066,77.22270642208512,Asian Restaurant,52e226ef498e7591ee3213db,0
Connaught Place,28.6313827,77.2197924,Shake square,28.6334059730543,77.218759059906,Café,4f86bca5bb3dda253d82c200,0
Connaught Place,28.6313827,77.2197924,Costa Coffee,28.63173491632254,77.21840646471269,Café,4da014eb5970b1f7f436521e,0
Connaught Place,28.6313827,77.2197924,Panchayat Paan Parlour,28.634073264989183,77.22264498769991,Indian Restaurant,4e74eae8b61c22c637f1b409,0
Connaught Place,28.6313827,77.2197924,Garam Dharam,28.631842130012696,77.2227521244348,North Indian Restaurant,55efea56498e81742081ade3,0
Connaught Place,28.6313827,77.2197924,Smoke House Deli,28.633764,77.221405,Deli / Bodega,580a6d0738fa3e233b7c0045,0
Connaught Place,28.6313827,77.2197924,Kwality Restaurant,28.629743645035568,77.21743130219578,Indian Restaurant,4b79606ef964a52089f62ee3,0
Connaught Place,28.6313827,77.2197924,Burger King,28.632828449172408,77.22132551263886,Fast Food Restaurant,548a6de3498ecb54da9adac2,0
Connaught Place,28.6313827,77.2197924,"Zen Chinese, Connaught Place",28.633657822271832,77.21949493258369,Chinese Restaurant,4d4ff7bec305b60cd151811e,0
Connaught Place,28.6313827,77.2197924,McDonald’s,28.630025692987704,77.21992785933003,Fast Food Restaurant,51e9fa26498e37a9f6201d78,0
Connaught Place,28.6313827,77.2197924,Japanese Fuji Restaurant,28.63309875268639,77.2221218013156,Japanese Restaurant,547b43fa498eaea3bee44d97,0
Connaught Place,28.6313827,77.2197924,Haldiram's,28.63422999171808,77.22233494432798,Indian Restaurant,4badb775f964a520ea643be3,0
Connaught Place,28.6313827,77.2197924,Veda Restaurant,28.635210214696645,77.21807926655758,Indian Restaurant,4b7421c5f964a5204ac92de3,0
Connaught Place,28.6313827,77.2197924,KFC,28.629964794571176,77.22005862719685,Fast Food Restaurant,4c4456ca56a7ef3b153ace21,0
Connaught Place,28.6313827,77.2197924,Domino's Pizza,28.630146349155968,77.21972800195404,Pizza Place,4fcf361de4b0aebeec3c0294,0
Connaught Place,28.6313827,77.2197924,Ignis,28.634227230587555,77.21880056952878,Asian Restaurant,4c83bada51ada1cd2c172810,0
Connaught Place,28.6313827,77.2197924,McDonald's,28.63181064699223,77.21968645853941,Fast Food Restaurant,4cb6fc7ef6616dcb451ee308,0
Connaught Place,28.6313827,77.2197924,McDonald's,28.632365736814616,77.21648256126124,Fast Food Restaurant,4f37860ee4b0156e87994a29,0
Connaught Place,28.6313827,77.2197924,Side Wok,28.632907157973833,77.21633720556096,Chinese Restaurant,4d5bf7ab9c31b60c94acafee,0
Connaught Place,28.6313827,77.2197924,Pizza Hut,28.632165594905885,77.22275328035393,Pizza Place,4c80be1574d7b60c5e0070d8,0
Connaught Place,28.6313827,77.2197924,Depauls Cold Coffee,28.629033883785702,77.21866616564309,Café,4b9f365df964a520241837e3,0
Connaught Place,28.6313827,77.2197924,Punjabi by Nature Quickie,28.630863493093397,77.21977972293753,North Indian Restaurant,52b99f7c498e9f08101266d3,0
Connaught Place,28.6313827,77.2197924,Kake-Da-Hotel,28.634710714433357,77.22201573164016,Indian Restaurant,4e54ae3ba8093d27cca8aabd,0
Connaught Place,28.6313827,77.2197924,Comesum,28.632658004760742,77.21968841552734,Snack Place,5130c448e4b04a7c61031da9,0
Connaught Place,28.6313827,77.2197924,McDonald's,28.634081907973634,77.21920575361753,Fast Food Restaurant,4dbcce3ef7b1ab37dd690677,0
Connaught Place,28.6313827,77.2197924,Domino's Pizza,28.63330076041656,77.22279585941382,Pizza Place,4df9cd4a31511eed7f147997,0
Connaught Place,28.6313827,77.2197924,Indian Coffee House,28.630755930400426,77.21605434631832,Café,4c347c9a213c2d7faf81385d,0
Connaught Place,28.6313827,77.2197924,Minar,28.63475114674571,77.22197132533496,Indian Restaurant,4ee0e3d59adf58ec9e4a142f,0
Connaught Place,28.6313827,77.2197924,Fa Yian,28.632793282499158,77.21718821209873,Chinese Restaurant,4bfd4ffab68d0f476592e857,0
Connaught Place,28.6313827,77.2197924,Gola Sizzlers,28.63518246137902,77.21985990076243,BBQ Joint,511912ece4b0cd23769dc008,0
Connaught Place,28.6313827,77.2197924,FIRE,28.628737183341777,77.21649767623988,Indian Restaurant,50cb475be4b01c69dbc4eca3,0
Connaught Place,28.6313827,77.2197924,Biryani Paradise,28.631388,77.216448,Hyderabadi Restaurant,5685691d498eee449e7d6908,0
Connaught Place,28.6313827,77.2197924,MIST,28.628720062553807,77.21629222049741,Italian Restaurant,4c5a6b61ec2520a1618b5112,0
Connaught Place,28.6313827,77.2197924,Lady Baga,28.631674,77.21623,Restaurant,5881e608ac13691c906cfa3b,0
Connaught Place,28.6313827,77.2197924,Caffe9,28.632799163931764,77.21655943164352,Indian Restaurant,536fb021498ea7adb35a75be,0
Connaught Place,28.6313827,77.2197924,G,28.63127367409223,77.21608784410734,Indian Restaurant,4e8334e902d58d31af5b663d,0
Connaught Place,28.6313827,77.2197924,Fifty9,28.63380617562755,77.21719382619487,Restaurant,4f0812e5e4b06fab18fd5ed7,0
Connaught Place,28.6313827,77.2197924,SIDEWOK,28.63290564755596,77.21640223600714,Chinese Restaurant,4eeb625299119cf9ce0e3cd9,0
Connaught Place,28.6313827,77.2197924,The Great Kabab Factory,28.633825870064385,77.21708715832257,Indian Restaurant,4d4c18de9bbb721eef208fa0,0
Connaught Place,28.6313827,77.2197924,China Garden,28.634342320913373,77.2173903193919,Chinese Restaurant,53c16329498e502089abc852,0
Connaught Place,28.6313827,77.2197924,"Hira Sweets, CP",28.635157468979756,77.21998961294145,Diner,504b6bb7e4b011fb609eeae8,0
Connaught Place,28.6313827,77.2197924,The Darzi Bar & Kitchen,28.635185,77.219436,Multicuisine Indian Restaurant,58e9209c469aef21458c8be1,0
Connaught Place,28.6313827,77.2197924,Pioneer's Flavour of China,28.6351857217094,77.21940279006958,Chinese Restaurant,5052141945b0242074b24051,0
Connaught Place,28.6313827,77.2197924,Zizo,28.635219893759988,77.22000084086731,Falafel Restaurant,53ee3191498ee7207e1a2dcb,0
Connaught Place,28.6313827,77.2197924,Sandoz CP,28.632894,77.215702,North Indian Restaurant,5805038038fa153aca5f0a1c,0
Connaught Place,28.6313827,77.2197924,Flavours Of China,28.634668,77.217381,Chinese Restaurant,51bb3548498e59d6e62b019e,0
